model,temperature_dir,temperature,variant,n_scored,n_missing,accuracy,brier_score,ece
GPT-OSS-120B,temperature_00,0.0,variant0_neutral_baseline,1580,0,0.8246835443037974,0.15941854430379657,0.12050000000000212
GPT-OSS-120B,temperature_00,0.0,variant1_predicted_event,1580,0,0.8151898734177215,0.16391987341772074,0.10673417721519256
GPT-OSS-120B,temperature_00,0.0,variant2_key_attribute,1580,0,0.8158227848101266,0.17448240506329052,0.12555696202531855
GPT-OSS-120B,temperature_00,0.0,variant3_reasoning_type,1580,0,0.8107594936708861,0.18293607594936676,0.1296582278481025
GPT-OSS-120B,temperature_00,0.0,variant4_credibility,1580,0,0.8240506329113924,0.17077069620253096,0.1516645569620265
GPT-OSS-120B,temperature_00,0.0,variant5_key_conditions,1580,0,0.8240506329113924,0.15149797468354323,0.10637974683544596
GPT-OSS-120B,temperature_00,0.0,variant6_step_by_step_reasoning,1580,0,0.8246835443037974,0.1631981012658218,0.11977215189873695
GPT-OSS-120B,temperature_00,0.0,variant7_uncertainty_language,1580,0,0.8202531645569621,0.17742879746835374,0.1467151898734195
GPT-OSS-120B,temperature_00,0.0,variant8_temporal_anchors,1580,0,0.8278481012658228,0.153366518987341,0.11193037974683707
GPT-OSS-120B,temperature_025,0.025,variant0_neutral_baseline,1580,0,0.8215189873417722,0.1583581645569611,0.10599367088607803
GPT-OSS-120B,temperature_025,0.025,variant1_predicted_event,1580,0,0.8088607594936709,0.1664725316455684,0.1118227848101291
GPT-OSS-120B,temperature_025,0.025,variant2_key_attribute,1580,0,0.8221518987341773,0.16934582278480922,0.1309620253164579
GPT-OSS-120B,temperature_025,0.025,variant3_reasoning_type,1580,0,0.8107594936708861,0.18119594936708822,0.1272025316455704
GPT-OSS-120B,temperature_025,0.025,variant4_credibility,1580,0,0.8189873417721519,0.17202835443037928,0.14687341772152016
GPT-OSS-120B,temperature_025,0.025,variant5_key_conditions,1580,0,0.8177215189873418,0.15806696202531528,0.10665822784810415
GPT-OSS-120B,temperature_025,0.025,variant6_step_by_step_reasoning,1580,0,0.8227848101265823,0.1628615189873406,0.12712658227848342
GPT-OSS-120B,temperature_025,0.025,variant7_uncertainty_language,1580,0,0.8158227848101266,0.1698751898734169,0.14032911392405228
GPT-OSS-120B,temperature_025,0.025,variant8_temporal_anchors,1580,0,0.8145569620253165,0.15751430379746736,0.09586075949367284
GPT-OSS-120B,temperature_075,0.075,variant0_neutral_baseline,1580,0,0.8259493670886076,0.1561231645569609,0.10825316455696364
GPT-OSS-120B,temperature_075,0.075,variant1_predicted_event,1580,0,0.8170886075949367,0.16505354430379593,0.11320253164557106
GPT-OSS-120B,temperature_075,0.075,variant2_key_attribute,1580,0,0.8278481012658228,0.16883113924050538,0.1295063291139259
GPT-OSS-120B,temperature_075,0.075,variant3_reasoning_type,1580,0,0.8126582278481013,0.1813501265822782,0.13125316455696248
GPT-OSS-120B,temperature_075,0.075,variant4_credibility,1580,0,0.8215189873417722,0.1685143670886067,0.14819620253164695
GPT-OSS-120B,temperature_075,0.075,variant5_key_conditions,1580,0,0.8132911392405063,0.15732860759493555,0.09700000000000243
GPT-OSS-120B,temperature_075,0.075,variant6_step_by_step_reasoning,1580,0,0.8183544303797469,0.1683736708860746,0.11815189873417947
GPT-OSS-120B,temperature_075,0.075,variant7_uncertainty_language,1580,0,0.8208860759493671,0.1744810126582272,0.1384556962025331
GPT-OSS-120B,temperature_075,0.075,variant8_temporal_anchors,1580,0,0.8265822784810126,0.15818430379746723,0.11402531645569772
GPT-OSS-120B,temperature_125,0.125,variant0_neutral_baseline,1580,0,0.8094936708860759,0.1639945569620243,0.10513924050633089
GPT-OSS-120B,temperature_125,0.125,variant1_predicted_event,1580,0,0.8120253164556962,0.16520949367088503,0.10408860759493786
GPT-OSS-120B,temperature_125,0.125,variant2_key_attribute,1580,0,0.8158227848101266,0.16720158227847975,0.12461392405063437
GPT-OSS-120B,temperature_125,0.125,variant3_reasoning_type,1580,0,0.8170886075949367,0.180933164556962,0.14460759493670952
GPT-OSS-120B,temperature_125,0.125,variant4_credibility,1580,0,0.8221518987341773,0.172923101265822,0.15152531645569772
GPT-OSS-120B,temperature_125,0.125,variant5_key_conditions,1580,0,0.8183544303797469,0.15816639240506186,0.10663924050633129
GPT-OSS-120B,temperature_125,0.125,variant6_step_by_step_reasoning,1580,0,0.8164556962025317,0.17546708860759413,0.12032911392405239
GPT-OSS-120B,temperature_125,0.125,variant7_uncertainty_language,1580,0,0.8177215189873418,0.17190905063291095,0.13370253164557105
GPT-OSS-120B,temperature_125,0.125,variant8_temporal_anchors,1580,0,0.830379746835443,0.15726044303797349,0.12082911392405174
GPT-OSS-120B,temperature_175,0.175,variant0_neutral_baseline,1575,5,0.8177777777777778,0.1654793809523799,0.12426984126984267
GPT-OSS-120B,temperature_175,0.175,variant1_predicted_event,1575,5,0.8012698412698412,0.17535104761904693,0.11600634920635064
GPT-OSS-120B,temperature_175,0.175,variant2_key_attribute,1580,0,0.8170886075949367,0.16962037974683417,0.12596202531645648
GPT-OSS-120B,temperature_175,0.175,variant3_reasoning_type,1577,3,0.7996195307545974,0.17924762206721584,0.1318896639188334
GPT-OSS-120B,temperature_175,0.175,variant4_credibility,1579,1,0.8163394553514883,0.1757279252691572,0.1467080430652322
GPT-OSS-120B,temperature_175,0.175,variant5_key_conditions,1578,2,0.8003802281368821,0.17091217743979611,0.10873510773130633
GPT-OSS-120B,temperature_175,0.175,variant6_step_by_step_reasoning,1578,2,0.8149556400506971,0.17296628643852902,0.1280988593155904
GPT-OSS-120B,temperature_175,0.175,variant7_uncertainty_language,1577,3,0.8123018389346861,0.18062403297400081,0.14998731769182044
GPT-OSS-120B,temperature_175,0.175,variant8_temporal_anchors,1577,3,0.8084971464806595,0.16665954343690464,0.11500951173113609
GPT-OSS-120B,temperature_2,2.0,variant0_neutral_baseline,1566,14,0.7886334610472542,0.17841047892720216,0.059909323116221644
GPT-OSS-120B,temperature_2,2.0,variant1_predicted_event,1560,20,0.7557692307692307,0.1922813006410253,0.056690384615386794
GPT-OSS-120B,temperature_2,2.0,variant2_key_attribute,1567,13,0.7791959157626037,0.188614045309508,0.05627121888960006
GPT-OSS-120B,temperature_2,2.0,variant3_reasoning_type,1564,16,0.7749360613810742,0.19486490089514052,0.07602109974424763
GPT-OSS-120B,temperature_2,2.0,variant4_credibility,1557,23,0.7874116891457932,0.1886399055876682,0.09679833012203114
GPT-OSS-120B,temperature_2,2.0,variant5_key_conditions,1562,18,0.7804097311139565,0.18706946222791263,0.0648591549295745
GPT-OSS-120B,temperature_2,2.0,variant6_step_by_step_reasoning,1571,9,0.8026734563971992,0.17723201782304138,0.06955442393380214
GPT-OSS-120B,temperature_2,2.0,variant7_uncertainty_language,1565,15,0.7916932907348243,0.1851015776357822,0.09751884984025742
GPT-OSS-120B,temperature_2,2.0,variant8_temporal_anchors,1568,12,0.7933673469387755,0.1791147200255094,0.05796619897959363
